,Attribute,Level,Partworth,Cost,Price,Utility,PriceUnit,WTP
0,Number of Games,3-Game,0.03257,,,0.30896999999999997,,8.380589862751124
1,Number of Games,6-Game,0.24383000000000002,,,0.52023,,14.110865987956815
2,Number of Games,10-Game,-0.2764,,,-0.2764,,-7.49715195023598
3,Ticket Price,$15/seat/game,0.65646,10.0,15.0,1.6590300000000002,27.124283466845082,45.0
4,Ticket Price,$25/seat/game,0.22011,12.0,25.0,1.2226800000000002,27.124283466845082,33.16431890924215
5,Ticket Price,$35/seat/game,0.126,18.0,35.0,1.1285700000000003,27.124283466845082,30.61165259217736
6,Ticket Price,$60/seat/game,-1.0025700000000002,40.0,60.0,-1.0025700000000002,27.124283466845082,-27.19399287535488
7,Ticket Location,300BB,-0.73169,10.0,,-0.73169,,-19.846566969855875
8,Ticket Location,300C,0.43716000000000005,12.0,,1.16885,,31.70421873022187
9,Ticket Location,300M,0.15736,18.0,,0.8890499999999999,,24.114844216198616
10,Ticket Location,200M,1.01148,40.0,,1.7431699999999999,,47.28223721090034
11,Promo Item,Priority Playoff Tickets,0.12511,0.0,,0.44297,,12.015243847308366
12,Promo Item,Dog n Pop,0.17428,3.25,,0.49213999999999997,,13.348944865373138
13,Promo Item,Apparel,0.00158,12.0,,0.31944,,8.664581110648992
14,Promo Item,$20 Certificate,0.016890000000000002,10.0,,0.33475,,9.07985389052639
15,Promo Item,No Promo,-0.31786,0.0,,-0.31786,,-8.621724742771377
